dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2023-01-22T00:00:00Z,OpenSea,607,456,226,240,5.21339839131591,8531.937975234046,|,281,182,127,|,0.6162280701754386,0.3991228070175439,0.27850877192982454,|,1277.142857142857,810,6.657126376650374,10505.247665370682,|,1266.8666666666666,797.9333333333333,6.700710408584628,9038.012460562633,|,82729,33940,18739,18117,579.7620143548506,788001.9196040855,|,82729,33940,18739,18117,579.7620143548506,788001.9196040855
2023-01-22T00:00:00Z,Quix,564,595,362,244,3.160892751032158,5157.246861879148,|,301,269,82,|,0.5058823529411764,0.45210084033613446,0.13781512605042018,|,1620.4285714285713,1665.2857142857142,11.98396067724903,18820.078287184242,|,3772.3333333333335,4251.866666666667,37.17262575632888,48561.39425337538,|,483582,300626,245193,189091,5178.959517541409,6.98151318592535e+06,|,485682,300626,245193,189091,5182.602741842409,6.986897713163406e+06
2023-01-21T00:00:00Z,OpenSea,623,501,279,230,3.3225830393030806,5496.645965518118,|,338,238,121,|,0.6746506986027944,0.4750499001996008,0.24151696606786427,|,1447.857142857143,891.8571428571429,6.958151183997396,10893.948678440578,|,1317.6333333333334,822.5,6.903268632641977,9213.562402560408,|,82122,33659,18557,17990,574.5486159635348,779469.9816288515,|,82122,33659,18557,17990,574.5486159635348,779469.9816288515
2023-01-21T00:00:00Z,Quix,885,815,559,273,3.578335932365127,5924.192951044886,|,485,465,96,|,0.5950920245398773,0.5705521472392638,0.11779141104294479,|,2240.714285714286,2326.285714285714,18.85643487046522,29350.30192307731,|,3884.9666666666667,4367.833333333333,38.24415561483261,49827.6599008257,|,483018,300325,244924,189009,5175.798624790376,6.976355939063471e+06,|,485118,300325,244924,189009,5179.441849091377,6.981740466301527e+06
2023-01-20T00:00:00Z,OpenSea,583,486,330,176,3.8977571584129347,6108.34988581143,|,321,285,70,|,0.6604938271604939,0.5864197530864198,0.1440329218106996,|,1618.4285714285713,958.2857142857143,7.60177381429755,11824.959692123984,|,1331.9333333333334,829.7,6.917854800187985,9181.854285041902,|,81499,33321,18319,17869,571.2260329242317,773973.3356633334,|,81499,33321,18319,17869,571.2260329242317,773973.3356633334
2023-01-20T00:00:00Z,Quix,604,632,455,188,1.0886370671399728,1712.5160515520004,|,371,354,49,|,0.5870253164556962,0.560126582278481,0.07753164556962025,|,2787.714285714286,2983.5714285714284,25.502670258427212,39507.6833385231,|,3977.7,4472.5,39.21565905908725,50952.793071629945,|,482133,299840,244459,188913,5172.220288858011,6.970431746112426e+06,|,484233,299840,244459,188913,5175.863513159012,6.975816273350482e+06
2023-01-19T00:00:00Z,OpenSea,728,611,396,225,6.507372066151187,9968.972167158003,|,427,340,120,|,0.6988543371522095,0.5564648117839607,0.19639934533551553,|,1767.7142857142858,1021.4285714285714,7.99333793648042,12297.191547967008,|,1351.3666666666666,841.9333333333333,6.926011851233502,9146.335409705154,|,80916,33000,18034,17799,567.3282757658188,767864.985777522,|,80916,33000,18034,17799,567.3282757658188,767864.985777522
2023-01-19T00:00:00Z,Quix,717,647,407,272,2.9574906107271723,4533.586864696556,|,273,249,69,|,0.42194744976816073,0.3848531684698609,0.10664605873261206,|,3447,3720.1428571428573,33.00833368827792,50096.86993617037,|,4128.566666666667,4627.233333333334,40.737086492125144,52800.15671970055,|,481529,299469,244105,188864,5171.131651790872,6.968719230060874e+06,|,483629,299469,244105,188864,5174.774876091872,6.97410375729893e+06
2023-01-18T00:00:00Z,OpenSea,843,684,386,340,4.649285536006877,7318.4415359755585,|,454,311,205,|,0.6637426900584795,0.4546783625730994,0.2997076023391813,|,1810.142857142857,1046.5714285714287,8.095089816313184,12317.332152216088,|,1356.9666666666667,841.9666666666667,6.836145696513014,8968.256120810023,|,80188,32573,17694,17679,560.8209036996676,757896.0136103639,|,80188,32573,17694,17679,560.8209036996676,757896.0136103639
2023-01-18T00:00:00Z,Quix,979,961,525,457,3.166735065367019,4963.29884223836,|,385,299,168,|,0.4006243496357961,0.31113423517169614,0.17481789802289283,|,4005.8571428571427,4488.857142857143,39.94180935251807,59754.160209952955,|,4256.866666666667,4768.433333333333,42.0096551908524,54308.54484380516,|,480812,299196,243856,188795,5168.174161180144,6.964185643196177e+06,|,482912,299196,243856,188795,5171.817385481145,6.969570170434233e+06
2023-01-17T00:00:00Z,OpenSea,3282,1592,829,826,12.490332372147808,19668.256349454616,|,993,693,429,|,0.6237437185929648,0.4353015075376884,0.2694723618090452,|,1832.4285714285713,1046.2857142857142,8.069918477979712,12125.011889369578,|,1383.5666666666666,845.2,6.875244967764056,8953.442629301078,|,79345,32119,17383,17474,556.1716181636607,750577.5720743884,|,79345,32119,17383,17474,556.1716181636607,750577.5720743884
2023-01-17T00:00:00Z,Quix,2608,2695,1564,1588,22.284761088691422,34981.45425041169,|,1377,1140,993,|,0.5109461966604824,0.4230055658627087,0.3684601113172542,|,4396,4964.571428571428,45.13969920228128,66588.18227483855,|,4354.2,4869.1,43.15230383707823,55616.91897598901,|,479833,298811,243557,188627,5165.007426114777,6.9592223443539385e+06,|,481933,298811,243557,188627,5168.650650415778,6.964606871591995e+06
2023-01-16T00:00:00Z,OpenSea,2274,1340,783,598,10.519156073214816,16444.129778443,|,862,611,333,|,0.6432835820895523,0.45597014925373136,0.24850746268656718,|,1519.142857142857,931.1428571428571,7.08473270116288,10378.69412252764,|,1333.0666666666666,821.5333333333333,6.645755117793834,8519.288040518108,|,76063,31126,16690,17045,543.6812857915129,730909.3157249338,|,76063,31126,16690,17045,543.6812857915129,730909.3157249338
2023-01-16T00:00:00Z,Quix,4986,5312,3700,3225,47.65087222542033,74468.25218846706,|,3548,3215,2502,|,0.6679216867469879,0.6052334337349398,0.4710090361445783,|,4528.571428571428,5175.142857142857,47.43727708052087,68876.26524736724,|,4446.266666666666,4957.1,44.03002130457608,56371.17493114029,|,477225,297434,242417,187634,5142.722665026086,6.924240890103526e+06,|,479325,297434,242417,187634,5146.365889327087,6.9296254173415825e+06
2023-01-15T00:00:00Z,OpenSea,1802,1029,497,560,7.320572042745069,11252.845066723317,|,579,379,301,|,0.5626822157434402,0.3683187560738581,0.2925170068027211,|,1363.142857142857,854.2857142857143,6.463719929936589,9189.75844179944,|,1308.1333333333334,806.8666666666667,6.513528550157235,8228.73399572304,|,73789,30264,16079,16712,533.162129718298,714465.1859464907,|,73789,30264,16079,16712,533.162129718298,714465.1859464907
2023-01-15T00:00:00Z,Quix,4906,5222,3583,3239,51.26821210354547,78868.81231313063,|,3525,3152,2576,|,0.6750287246265798,0.6036001531980084,0.4932975871313673,|,4321.142857142857,5035.714285714285,45.840687705822354,65108.15857200484,|,4373.533333333334,4880.766666666666,43.28956610701382,54888.759951737586,|,472239,293886,239202,185132,5095.071792800666,6.849772637915059e+06,|,474339,293886,239202,185132,5098.7150171016665,6.855157165153115e+06
2023-01-14T00:00:00Z,OpenSea,1817,966,481,502,7.827941451404152,12013.72306130196,|,532,370,257,|,0.5507246376811594,0.3830227743271222,0.2660455486542443,|,1278.857142857143,843.1428571428571,6.700347003072829,9203.287067311827,|,1268.7666666666667,788.0333333333333,6.36782074855802,7974.291504747274,|,71987,29685,15700,16411,525.841557675553,703212.3408797674,|,71987,29685,15700,16411,525.841557675553,703212.3408797674
2023-01-14T00:00:00Z,Quix,4714,5416,3697,3235,50.101983648099086,77025.86285916534,|,3885,3243,2564,|,0.7173190546528804,0.598781388478582,0.4734121122599705,|,4309.142857142857,5119.285714285715,45.60680424070129,62807.37513962735,|,4350.366666666667,4855.633333333333,42.954157992910346,53960.84008230014,|,467333,290361,236050,182556,5043.80358069712,6.770903825601928e+06,|,469433,290361,236050,182556,5047.446804998121,6.776288352839984e+06
2023-01-13T00:00:00Z,OpenSea,1628,928,371,590,6.638706013693029,9413.972876712593,|,491,291,314,|,0.5290948275862069,0.3135775862068966,0.33836206896551724,|,1154.4285714285713,796.4285714285714,6.6431482040794325,8829.635665635402,|,1262.6666666666667,783.2,6.325221131285497,7853.559503185775,|,70170,29153,15330,16154,518.0136162241488,691198.6178184655,|,70170,29153,15330,16154,518.0136162241488,691198.6178184655
2023-01-13T00:00:00Z,Quix,5219,5788,4249,3565,53.62828107609498,75836.82223508286,|,4268,3885,2944,|,0.7373876986869385,0.6712163096060816,0.5086385625431928,|,4322,5188.142857142857,45.73835065433891,61026.631025734125,|,4394,4880.266666666666,43.293229109363466,53981.23070708698,|,462619,286476,232807,179992,4993.701597049021,6.693877962742763e+06,|,464719,286476,232807,179992,4997.344821350021,6.699262489980819e+06
2023-01-12T00:00:00Z,OpenSea,1025,787,338,459,7.219635224980532,10109.956396901562,|,383,215,208,|,0.4866581956797967,0.2731893265565438,0.26429479034307496,|,1011.2857142857143,730.5714285714286,6.209108843126535,8130.555367770318,|,1269.8,788.3333333333334,6.428489590632879,7970.1044215121065,|,68542,28662,15039,15840,511.37491021045577,681784.6449417529,|,68542,28662,15039,15840,511.37491021045577,681784.6449417529
2023-01-12T00:00:00Z,Quix,4629,6028,3977,3502,51.49182026040825,72134.61878117468,|,4604,3642,2951,|,0.7637690776376908,0.6041804910418049,0.4895487723954877,|,4135,5049.285714285715,44.07924373048688,57705.07212995101,|,4385.266666666666,4867.766666666666,43.21874752320556,53724.69400673945,|,457400,282208,228922,177048,4940.073315972926,6.618041140507679e+06,|,459500,282208,228922,177048,4943.7165402739265,6.6234256677457355e+06
2023-01-11T00:00:00Z,OpenSea,999,682,269,420,4.473086167672584,5972.199696049998,|,337,175,212,|,0.4941348973607038,0.2565982404692082,0.31085043988269795,|,957.5714285714286,694.8571428571429,5.752353331359834,7405.803903501267,|,1278.5,793.9,6.416742117112127,7926.590428490338,|,67517,28279,14824,15632,504.1552749854752,671674.6885448514,|,67517,28279,14824,15632,504.1552749854752,671674.6885448514
2023-01-11T00:00:00Z,Quix,3710,4291,3114,2827,39.5519640137094,52801.453296437525,|,3184,2790,2334,|,0.7420181775809834,0.6501980890235376,0.5439291540433465,|,3979.8571428571427,4853.285714285715,41.80918519899351,53767.66168995595,|,4371.6,4818.266666666666,42.94389934033776,53176.16083979578,|,452771,277604,225280,174097,4888.581495712518,6.545906521726505e+06,|,454871,277604,225280,174097,4892.224720013518,6.551291048964561e+06
2023-01-10T00:00:00Z,OpenSea,1089,786,317,486,5.594031934429975,7444.03198156105,|,408,231,235,|,0.5190839694656488,0.29389312977099236,0.2989821882951654,|,950.2857142857143,678.2857142857143,5.861203865322926,7489.30508911175,|,1299.8333333333333,805.2333333333333,6.581890778648342,8121.121133510219,|,66518,27942,14649,15420,499.6821888178026,665702.4888488014,|,66518,27942,14649,15420,499.6821888178026,665702.4888488014
2023-01-10T00:00:00Z,Quix,3536,4169,2891,2578,38.36780623636862,50998.03505811247,|,2954,2524,2106,|,0.708563204605421,0.6054209642600143,0.5051571120172703,|,4052,4927.428571428572,42.36493140741389,53976.608592504475,|,4393.666666666667,4828.1,42.99744709248,53134.30275942311,|,449061,274420,222490,171763,4849.029531698809,6.493105068430067e+06,|,451161,274420,222490,171763,4852.672755999809,6.498489595668123e+06
2023-01-09T00:00:00Z,OpenSea,1182,802,338,476,6.172066674630784,8121.5800133456005,|,424,264,212,|,0.5286783042394015,0.32917705735660846,0.26433915211970077,|,903.2857142857143,634.8571428571429,5.663133456969086,7155.399536652585,|,1302.6333333333334,801.5666666666667,6.57357321256158,8100.062581873456,|,65429,27534,14418,15185,494.0881568833727,658258.4568672403,|,65429,27534,14418,15185,494.0881568833727,658258.4568672403
2023-01-09T00:00:00Z,Quix,3534,4336,2870,2687,36.47474660253071,48091.50546093037,|,2962,2451,2186,|,0.6831180811808119,0.5652675276752768,0.5041512915129152,|,4147,5132,43.25230623147957,54427.980561961376,|,4412.433333333333,4829.633333333333,43.11182227518726,53209.805001043635,|,445525,271466,219966,169657,4810.66172546244,6.442107033371954e+06,|,447625,271466,219966,169657,4814.30494976344,6.44749156061001e+06
2023-01-08T00:00:00Z,OpenSea,1212,951,523,441,8.976961554698745,11347.545445310014,|,590,442,220,|,0.6203995793901157,0.4647739221871714,0.231335436382755,|,878.8571428571429,615.4285714285714,5.632120840859235,7026.827204260755,|,1305.7333333333333,796.8666666666667,6.592055651220119,8113.662355238394,|,64247,27110,14154,14973,487.9160902087419,650136.8768538947,|,64247,27110,14154,14973,487.9160902087419,650136.8768538947
2023-01-08T00:00:00Z,Quix,4822,5807,3884,3576,49.63102784769794,62763.32828648822,|,4148,3343,2851,|,0.7143103151369037,0.5756845186843464,0.4909591871878767,|,4281.714285714285,5213.571428571428,44.8753849546166,55825.21369063648,|,4419.433333333333,4811.866666666667,43.157465214373055,53206.82318160865,|,441991,268504,217515,167471,4774.186978859909,6.394015527911024e+06,|,444091,268504,217515,167471,4777.830203160909,6.39940005514908e+06
2023-01-07T00:00:00Z,OpenSea,946,639,258,389,7.427549858450374,9398.163249567002,|,325,190,195,|,0.5086071987480438,0.297339593114241,0.3051643192488263,|,845,567.4285714285714,5.17450034747054,6393.495834284926,|,1310.3333333333333,787,6.457541051102195,7946.279211944018,|,63035,26520,13712,14753,478.93912865404315,638789.3314085846,|,63035,26520,13712,14753,478.93912865404315,638789.3314085846
2023-01-07T00:00:00Z,Quix,4804,5898,3896,3754,51.022808543562476,64560.65406191273,|,4502,3434,3258,|,0.7633095964733808,0.5822312648355374,0.5523906408952187,|,4071.1428571428573,4957.428571428572,42.636818827611144,52664.649810602314,|,4364.933333333333,4729.466666666666,42.608198804985804,52529.77787605405,|,437169,264356,214172,164620,4724.555951012211,6.331252199624536e+06,|,439269,264356,214172,164620,4728.1991753132115,6.336636726862592e+06
2023-01-06T00:00:00Z,OpenSea,626,467,159,318,3.6004304870227455,4520.410791657004,|,237,100,186,|,0.5074946466809421,0.21413276231263384,0.39828693790149894,|,852,573.5714285714286,5.0757877569354966,6204.6270847886835,|,1313.1333333333334,785.2666666666667,6.420908854683883,7896.227271761594,|,62089,26195,13522,14558,471.51157879559275,629391.1681590176,|,62089,26195,13522,14558,471.51157879559275,629391.1681590176
2023-01-06T00:00:00Z,Quix,3910,4816,3163,3104,42.01453260913078,52585.90996460111,|,3395,2738,2512,|,0.7049418604651163,0.5685215946843853,0.521594684385382,|,3881.714285714286,4638.142857142857,40.178808909769614,49229.97301560401,|,4325,4660.666666666667,42.28670148658916,52090.432402938975,|,432365,259854,210738,161362,4673.533142468648,6.266691545562623e+06,|,434465,259854,210738,161362,4677.176366769649,6.272076072800679e+06
