project,launch_time,num_contracts,type,num_transactions,txs_per_day,time_elapsed
Clipper,2022-02-04T00:19:30Z,4,Contract Project,419120,1302.915115034028,321.6786689814815
1inch,2021-08-06T08:24:24Z,32,Contract Project,473291,940.2971798931967,503.3419328703704
Across,2021-11-18T07:45:15Z,41,Contract Project,175328,439.0124099665062,399.36912037037035
OaycNFT,2022-10-15T07:02:14Z,1,NFT Only Project,14738,215.47100829436758,68.39899305555555
Beethoven X,2022-04-23T06:02:34Z,324,Contract Project,622375,2556.58028741441,243.44042824074074
Reaper Farm,2022-07-04T14:07:20Z,338,Contract Project,25018,146.2153513472269,171.10378472222223
Zipswap,2021-12-10T18:50:39Z,137,Contract Project,71550,189.834608986006,376.907037037037
0x,2021-12-22T05:13:01Z,51,Contract Project,220509,603.3493337846319,365.47483796296297
Beefy Finance,2022-06-24T12:42:32Z,405,Contract Project,77231,426.30746422845493,181.1626736111111
Teleportr/ Warp Speed,2022-04-16T07:39:36Z,1,Contract Project,64159,256.25362451057407,250.3730439814815
Nested,2022-04-07T17:47:39Z,43,Contract Project,44206,170.71197390752602,258.95078703703706
Lyra,2021-08-21T07:13:22Z,185,Contract Project,277292,567.7660961956898,488.39126157407406
Pooltogether,2022-07-01T16:03:46Z,308,Contract Project,464296,2668.0162475929596,174.02292824074075
Connext,2021-11-16T03:46:20Z,29,Contract Project,43446,108.19977397502933,401.53503472222224
Thales,2021-11-29T22:58:28Z,43935,Contract Project,187606,483.8511560747562,387.73494212962964
Zerion,2022-03-09T12:56:29Z,1,Contract Project,37165,128.97662627611732,288.1529861111111
Rubicon,2021-08-16T19:18:41Z,150,Contract Project,1.146771e+06,2326.6381038835625,492.88756944444447
Synthetix,2021-06-13T00:00:00Z,363,Contract Project,1.571081e+06,2817.1112488268295,557.6922106481481
Mirror,2022-01-19T18:08:25Z,13091,Contract Project,294814,874.9842105997182,336.93636574074077
Gelato,2022-01-09T13:17:19Z,30,Contract Project,70898,204.23547436502025,347.13851851851854
Tarot Finance,2022-05-06T14:19:15Z,262,Contract Project,178810,777.1120808730191,230.09550925925927
Granary,2022-05-26T00:38:03Z,66,Contract Project,712012,3379.8179097530515,210.66578703703703
WETH,2021-06-13T00:00:00Z,1,ERC20 Only Project,603740,1082.5684642400424,557.6922106481481
Quix,2021-12-18T00:44:35Z,45,Contract Project,609252,1648.135962316851,369.66125
Op,2022-04-26T13:30:36Z,6,Contract Project,1.150922e+06,4792.926264501314,240.12929398148148
Pika Protocol,2021-11-22T04:33:37Z,96,Contract Project,1.398896e+06,3537.0119389348806,395.5021990740741
Hop Protocol,2021-06-13T00:00:00Z,122,Contract Project,929496,1666.6827727784519,557.6922106481481
Multichain,2021-11-15T07:28:30Z,65,Contract Project,120598,299.71115493528004,402.3807523148148
Wardenswap,2022-04-11T10:49:18Z,19,Contract Project,29293,114.76590621012278,255.24130787037038
Polynomial Protocol,2022-03-29T06:32:42Z,190,Contract Project,125042,465.84543567681965,268.4195023148148
Socket,2021-12-20T09:43:11Z,34,Contract Project,305924,832.9285134098806,367.2872222222222
Chainlink,2021-07-19T20:39:55Z,157,Contract Project,4.264256e+06,8187.405725161696,520.8311574074074
Velodrome,2022-06-01T20:01:23Z,1876,Contract Project,3.099062e+06,15202.068434101366,203.85791666666665
Circle,2021-06-13T00:00:00Z,1,ERC20 Only Project,3.124353e+06,5602.28911278658,557.6922106481481
Aave,2022-03-04T21:02:50Z,92,Contract Project,680064,2322.502042255266,292.8152430555556
Synapse,2021-11-12T23:55:02Z,242,Contract Project,790753,1953.9448496748457,404.6956597222222
Kyberswap,2022-06-16T07:54:02Z,72,Contract Project,24615,129.98842060966453,189.36302083333334
Dhedge,2021-11-29T21:28:04Z,735,Contract Project,65103,167.87875910034833,387.7977199074074
Stargate Finance,2022-03-15T12:57:15Z,43,Contract Project,598975,2122.877161398003,282.1524537037037
Celer,2021-06-13T00:00:00Z,27,Contract Project,98423,176.48265139943965,557.6922106481481
Uniswap V3,2021-07-08T19:10:23Z,584,Contract Project,3.54136e+06,6658.026672014439,531.8933333333333
Lifi,2022-01-12T08:42:06Z,53,Contract Project,101248,294.0438111748334,344.3296412037037
Slingshot,2021-12-02T16:41:23Z,43,Contract Project,391254,1016.2525879543733,384.99680555555557
Biconomy - Hyphen,2022-06-13T19:03:25Z,20,Contract Project,125242,652.6482204284415,191.89817129629628
Perpetual Protocol,2021-11-24T07:03:14Z,508,Contract Project,8.028085e+06,20407.015048979818,393.3982986111111
Curve,2022-01-17T12:50:01Z,83,Contract Project,312088,920.1861120588648,339.15747685185187
Layer Zero,2022-03-15T04:02:30Z,37,Contract Project,436490,1544.9671420267473,282.5238078703704
Gnosis Safe,2021-11-17T11:17:03Z,36737,Contract Project,83575,208.82158468516784,400.222037037037
Mean Finance,2021-12-06T14:40:42Z,73,Contract Project,39514,103.68934710366915,381.08061342592595
Paraswap,2022-07-15T15:47:00Z,17,Contract Project,16909,105.65842001587187,160.03457175925925
RabbitHole Credentials: L2,2022-10-04T22:57:49Z,1,NFT Only Project,27380,347.7470395008598,78.73539351851852
Optimistic Explorer,2022-07-19T22:28:33Z,1,NFT Only Project,261825,1680.9976805143738,155.7557175925926
Hashflow,2022-05-02T00:56:26Z,41,Contract Project,34097,145.30816555827775,234.65302083333333
Alpha Gal,2022-08-31T02:34:01Z,1,NFT Only Project,15196,133.78497102947023,113.58525462962963
Galxe,2022-07-18T07:01:41Z,53,Contract Project,2.145675e+06,13632.042693943353,157.399375
Opensea,2022-06-27T17:55:35Z,2,Contract Project,32691,183.71378217086087,177.9452777777778
Ripae,2022-08-04T12:58:59Z,25,Contract Project,21829,155.75315953300452,140.15125
Flipsideattestation,2022-12-15T16:50:07Z,1,Contract Project,6041,864.143046357616,6.9907407407407405
Thirdweb,2022-06-23T00:01:43Z,381,Contract Project,126996,695.1409052828014,182.69101851851852
OP Delegatooors,2022-09-20T23:45:34Z,1,NFT Only Project,36002,388.36173116508417,92.7022337962963
Band Protocol,2021-12-14T11:32:09Z,52,Contract Project,45511,121.94424284856315,373.2115509259259
Optimismpad,2022-08-14T03:29:37Z,8,Contract Project,24195,185.3360557413937,130.54664351851852
Unidex,2022-10-24T08:13:10Z,32,Contract Project,10191,171.71096394430612,59.3497337962963
Opx Finance,2022-11-02T11:37:57Z,76,Contract Project,72931,1452.5910745447713,50.20752314814815
Nex,2022-08-31T06:07:51Z,25,Contract Project,165415,1458.2133788038204,113.43675925925926
Qidao,2022-04-05T18:46:44Z,72,Contract Project,175243,671.6613516194203,260.90975694444444
Ecc Domains,2022-08-10T09:44:58Z,2,Contract Project,16264,121.11465054068115,134.2859837962963
Sushi,2022-05-04T05:08:25Z,170,Contract Project,27126,116.68199235471373,232.4780324074074
Odos,2022-10-06T05:09:31Z,2,Contract Project,446794,5766.775320598814,77.47726851851851
Homora V2,2022-07-07T05:08:44Z,37,Contract Project,19138,113.59359262810942,168.4778125
OP Bridgooor,2022-11-02T18:43:54Z,1,NFT Only Project,13511,270.6979196836637,49.91172453703704
Atlantis World,2022-11-01T13:13:30Z,1,NFT Only Project,16903,330.51649652593346,51.141168981481485
Chainhop,2022-05-11T08:48:05Z,71,Contract Project,80514,357.32309464672556,225.3254861111111
Revert Finance,2022-07-15T19:06:35Z,4,Contract Project,24652,154.17524067297228,159.8959722222222
Kwenta,2022-02-12T00:34:04Z,58127,Contract Project,351865,1121.773274255974,313.6685532407407
Sonne Finance,2022-09-25T09:51:10Z,63,Contract Project,56021,634.5710810711242,88.28167824074075
Quest3,2022-03-31T14:41:29Z,80,Contract Project,64598,242.77654517632928,266.08006944444446
Holozaki,2022-06-05T07:22:03Z,42,Contract Project,24700,123.26257687449707,200.38523148148147
Apetimism Launchapd,2022-07-29T21:27:35Z,37,Contract Project,35817,245.66171245234563,145.79805555555555
