address,token_direction,project,contract,method,usd_value,num_tfers,num_txs
0x08048f6d9db401d2716dcbb1979513231e5e3c81,out,gnosis_safe,GnosisSafeProxy,buy,97421.36799999999,1,1
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,in,0xb914530349240a5311030c2c8ebdbcfb7edd660a,,transfer,10171.5282,3,3
0x686e007100860000009fabf10c00b23aee60385e,out,0xe0f8ce7a84406fa4e6c566c725bdc77632a985ed,,0x020c9c01,10382.8673,5,5
0x08048f6d9db401d2716dcbb1979513231e5e3c81,out,0xa197ba350196e66a62cbef059ed87c76c8aaae2b,,buyToken,25108.6,1,1
0xd7fd97d284e92a9a2d02cca308fd79fef361261c,out,OTHER,OTHER,OTHER,1506.09417552,2,2
0x680cfea894cd0bd8491c348795fa791f7386d235,in,0x3ccd107d72bc855d591df92d3b7c7e4e75f0957c,,exchange_multiple,82229.73771027601,3,3
0xa05527778c5d874ff4926af98d162e3fbf4d96db,in,hop_protocol,Swap,removeLiquidity,53394.60937186332,1,1
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x03827001,365112.27765256877,129,129
0xa28300703259f0c0c8a5c1a18f796f571f35cac4,in,OTHER,OTHER,OTHER,8.588657559255265e+06,11012,11012
0xb7b0e9d6e2d182ab370fd1c020c536af6b9cbfd6,in,0x11ae67fd5ed22a5101dd2cf759944265271b5dfc,,0x00c35312,39487.60219515284,59,59
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,in,0x8c6c7e79a83b40e25ed7922cb4f684ebda9c0431,,transfer,10738.507550009183,1,1
0xe4b5b2667e049ac8c79ae6c5a7e3300815aa32be,out,0xa948d41739f25c1b0b99ec0aa2381c5c0408c1c6,,transfer,16502.577132799997,1,1
0x1756968b96d7ad6ba0333045109004c67b1e4edf,in,OTHER,OTHER,OTHER,15116.656534320671,3,3
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x02579c01,15787.573417664487,8,8
0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,in,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,,multicall,15057.766362957647,1,1
0x82287cdda3d1b5d26d49ce03280d07b86d54fe54,out,gmx,Vault,swap,1.0043439999999999e+06,1,1
0xc9c8a2ae2354a97e737301133fcd2f95de88529b,out,0x521709b3cd7f07e29722be0ba28a8ce0e806dbc3,,performDirectAction,14105.717913177574,13,13
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,out,0x77a3e747f34043d68864acaf95156e2174f893c6,,transfer,82641.5318820738,5,5
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x02134001,10275.317645809742,6,6
0xc713ad7305ec2eb9d8d7654190ac359293a22968,in,aave_v3,AToken,withdraw,151062.30000000002,1,1
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,out,y2k,Vault,deposit,231933,1,1
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,in,curvefi,vst_frax,exchange,130187.82414806641,1,1
0x6aca1cb651fb9d1a207b2a279ced05480185aa52,in,balancer_v2,Vault,batchSwap,18971.856645239204,30,30
0x686e007100860000009fabf10c00b23aee60385e,out,0xe0f8ce7a84406fa4e6c566c725bdc77632a985ed,,0x01fbd301,12060.7943196,6,6
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,out,trader_joe,LBPair_GMX_WETH,0xea8f43d8,12434.191302693811,2,2
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,out,0x5783dc722a03b57302ebf800cd691d95200125da,,transfer,10070.819607238021,1,1
0x6be5b497578d2260bc27afb91af26666dafe3a47,out,OTHER,OTHER,OTHER,10843.528119844086,9,9
0x1119c4ce8f56d96a51b5a38260fede037c7126f5,out,OTHER,OTHER,OTHER,19959.100126747715,8,8
0x096a11f594767e372cc41bc4db94fd9fa3bb4214,out,0xa5abf0fb3a51af318c48abb6478d350060009b84,,swap,202515.54250927997,1,1
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x035b6301,37793.97599838705,14,14
0xb850acdf1972546a757f69688ca6817dc40483a7,out,0x521709b3cd7f07e29722be0ba28a8ce0e806dbc3,,swap,58865.325342206255,1,1
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,in,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,,multicall,511436.8428628782,2,2
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,out,0xbf05af8b0d74f85647c0c97c4c8da746f728267c,,multicall,21110.989579306617,2,2
0x4fc9f6c4dbcf314f5e9e9f1b73cef81faf32ec1d,in,gmx,sGMX,execTransaction,118440.7,1,1
0xd03cf9fa773da40475baead68e59c954c5ac77b6,out,0xea015c08ba1cd54a45a0c2e70563a247478e3644,,transfer,1.412773401470032e+06,2,2
0x2990d87e823d3cca83683207dcb2d5660debf376,out,0xc76aeeefb36275470c1e69dd8b17ab33c49e8cb7,,0x14a59183,15076.988870007637,8,8
0x3a761fede68a286c562e958d622b29abebe5db51,in,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,transfer,293816.17350000003,2,2
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,out,0x481a601e202fe5d6aa0a72c0a19753bde9b6e665,,transfer,260984.43679137723,49,49
0x8dcd22fb9e37e9c311c34cf19762b88d231353be,in,y2k,Vault,0x71b3177a,377338.711456723,5,5
0x07b23ec6aedf011114d3ab6027d69b561a2f635e,out,gmx,Vault,0x364e2311,7.084297709574388e+06,3,3
0x67b1ad6951744b9197be61d94655a3410cd8a1e5,out,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,,transfer,212200.00270798997,1,1
0x048bf2f5908e95976cead0e47d805b3803e286e2,in,sushi,UniswapV2Router02,removeLiquidityETH,129097.40553048928,4,4
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x02a3c801,13226.008319401415,6,6
0xd40b47477d4d0770ca23944c4eef45a06d69460f,in,0x0000000000000000000000000000000000000000,,deposit,617560.2679999999,1,1
0xc6d973b31bb135caba83cf0574c0347bd763ecc5,out,uniswap_v3,Pair,exactOutput,1.2066579346224885e+08,18383,18383
0x2990d87e823d3cca83683207dcb2d5660debf376,in,0xcd0d4cdb238eec15fcf4ff9d13d5a59051e507d7,,0x14a59183,13811.581494246027,4,4
0x6f15ee9258acdebf356db7ab607bb255a00c6fdf,in,0x88b0be658e72c5518b37ce0a5625d3fd494dbafa,,0xf0210929,20090.897375999997,2,2
0x9edcb464c0afdd01a5ffbd09309b437c7dadeab3,in,0x805ba50001779ced4f59cff63aea527d12b94829,,borrow,1.6852287627617682e+06,2,2
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x07956801,12695.164877356807,2,2
0x455b731b921af12150aae1086807ee04453f30cb,out,curvefi,vst_frax,exchange,76064.18551298954,2,2
0x2990d87e823d3cca83683207dcb2d5660debf376,in,OTHER,OTHER,OTHER,926932.2527326104,9682,9682
0x473d3a2005499301dc353afa9d0c9c5980b5188c,in,swapfish,UniswapV2Pair_VST_USDC,removeLiquidityWithPermit,623455.6255445501,13,13
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,in,curvefi,Vyper_contract_FRAX_USDC,exchange,56873.541173943646,1,1
0x0f03f6686794aecbd064a2b1af9506792c684d17,in,OTHER,OTHER,OTHER,9623.358549787295,25,25
0xa0f2e2f7b3ab58e3e52b74f08d94ae52778d46df,in,oneinch,AggregationRouterV5,swap,57736.06601210483,6,6
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,out,dopex,EthWeeklyCallsSsovV3,deposit,1.9240845535706019e+06,8,8
0x1ce4dd7b9230b46f7f8d49fd7c331a0fa24f758c,out,0x8d95adcfdc1abeb7385c298c09b8592dcb6df6ec,,transfer,55900,1,1
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,in,0x99f73421e5ca9f1525666cbce96947900d6bf3e3,,transfer,56501.361086961064,14,14
0x3ec92c9d09403a76bda445ffdfaf6de59717219f,out,uniswap_v3,Pair,increaseLiquidity,578521.250298583,10,10
0xcdb4b5f351974fd86106e2f2e02e09d17ea65476,in,uniswap_v3,Pair,multicall,74510.24297803924,5,5
0x08048f6d9db401d2716dcbb1979513231e5e3c81,out,buffer_finance,BufferBinaryPool,0xfa4e0932,152660.28799999997,2,2
0xe0028eb5ae51384418e07cad373dae8f396ad707,out,dodo,DPP,externalSwap,54209.70237632223,1,1
0x1101f58563ee35ba816430c37abef8470ae28c68,out,0xef47ccc71ec8941b67dc679d1a5f78facfd0ec3c,,repay,704957.4,2,2
0xaa7f1ec5b693f86bb496b1337b2cc367afea07eb,out,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,,multiSwap,30181.8,3,3
0xc4a5e6ccb7b84687e31c51cbe564f0b156a7258a,in,OTHER,OTHER,OTHER,3405.356732462524,3,3
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x02121401,12274.633574621703,7,7
0xdab56898802076a6fd4f4ac769d5488a91b5377f,in,0x62383739d68dd0f844103db8dfb05a7eded5bbe6,,transfer,392826.2013813489,3,3
0xf1911e430bfad4b0e440b14ef0d16bd4ca028707,out,gmx,Vault,swap,20141.64,2,2
0xf939905a9ff54e835038d8cc3ed57318b90c0333,out,cap,PoolCAP,deposit,18035.81639635621,12,12
0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0,in,0x3dd1d15b3c78d6acfd75a254e857cbe5b9ff0af2,,transfer,235253.09497573914,1,1
0x455b731b921af12150aae1086807ee04453f30cb,out,curvefi,Vyper_contract_FRAX_USDC,add_liquidity,161575.20781442,2,2
0x686e007100860000009fabf10c00b23aee60385e,out,0xe0f8ce7a84406fa4e6c566c725bdc77632a985ed,,0x028eb001,15548.78832,6,6
0xd4ae88767ad79d5ee42c7563189b13cb0fefbe3e,out,0xb0cabfe930642ad3e7decdc741884d8c3f7ebc70,,stake,189666.89630885038,1,1
0x3de9ed2781e67c9d71ccb72fc098ffefcacc47b9,in,gmx,Vault,0xabe68eaa,506682.13414992194,2,2
0xf2918b11780f2df5ec6ed814275e5f2873bf2e53,out,gmx,sGMX,0xf3daeacc,41614.299999999996,2,2
0xc9c8a2ae2354a97e737301133fcd2f95de88529b,out,dodo,DSP,swapTokensGeneric,48064.06391803099,7,7
0xba10031f3b6f5f49797e300a765f2f5d89ec0fbf,out,OTHER,OTHER,OTHER,8447.735915930894,3,3
0xf4f9e8cdae4b69ff3e0beca0dff65b9b718c3161,out,kyber,Elastic_Pool,addLiquidity,102538.86654781552,2,2
0x8dcd22fb9e37e9c311c34cf19762b88d231353be,out,OTHER,OTHER,OTHER,3238.4222,9,9
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,out,0xfd1d1eba450dba11e4ca566c01a8f0c0b87cf795,,transfer,68228.94938764846,2,2
0x5c6d32cbcb99722e6295c3f1fb942f99e98394e8,in,OTHER,OTHER,OTHER,22245.94144492051,18,18
0x2d49324aaf6639b3e0b4e1524d8efb255817dab2,out,0x200c8695c4e6c50a5ecbf56e7419b42c807f79c1,,transfer,322856.77149359556,1,1
0xd42b63493e0c7ab1879adbc134e8a07eaa999d3e,in,0xf6995955e4b0e5b287693c221f456951d612b628,,borrow,29859.53540907932,2,2
0x648349e02c549986c8ef2b75514d73040d581acc,out,0x2817d13ed8ed176cd99684c8bd5bdb0145667228,,transfer,16069.503999999999,1,1
0x686e007100860000009fabf10c00b23aee60385e,out,0xe0f8ce7a84406fa4e6c566c725bdc77632a985ed,,0x0787bc01,15261.1914,2,2
0x686e007100860000009fabf10c00b23aee60385e,in,uniswap_v3,Pair,0x02bf2301,32886.83124252566,14,14
0xc9c8a2ae2354a97e737301133fcd2f95de88529b,out,0xaa3d9fa3ab930ae635b001d00c612aa5b14d750e,,outboundTransferTo,476808.26735619,2,2
0x1119c4ce8f56d96a51b5a38260fede037c7126f5,in,swapfish,UniswapV2Pair_USDT_USDC,removeLiquidityWithPermit,140593.02088395477,2,2
0xa3c3e4a4558b961ffc7cc47829115e8988744425,in,0x0000000000000000000000000000000000000000,,finalizeInboundTransfer,3.6658675516936006e+06,13,13
0xc9c8a2ae2354a97e737301133fcd2f95de88529b,in,dodo,DPP,externalSwap,277984.70463793137,27,27
0x63643d4dd9adbe65ace96811a9ec1945cfb0f2c4,in,gmx,PositionRouter,0x574ec1be,762497.2119919461,4,4
0xd42b63493e0c7ab1879adbc134e8a07eaa999d3e,in,OTHER,OTHER,OTHER,25556.93634885957,97,91
0x4a73046c9af5ba9fa8cfe1f96b5f190798823d24,in,OTHER,OTHER,OTHER,22157.53475091663,9,9
0xd42b63493e0c7ab1879adbc134e8a07eaa999d3e,out,kyber,Elastic_Pool,addLiquidity,85989.48276270909,6,6
