,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
2562,Arbitrum,uniswap_v3,uniswap_v3 - Pair | exactInputSingle,232411391.9433081,0.09523726808731392,1974534.558574618,0.0012486652260866424,4.0,Dollar-Weighted,action
2561,Arbitrum,uniswap_v3,uniswap_v3 - Pair | exactInput,139155315.962,0.057022902454285054,18057173.791443527,0.011419078433884273,1.0,Dollar-Weighted,action
1927,Arbitrum,celer_network,celer_network - Bridge | addLiquidity,134318761.67067668,0.055040984899340215,134318761.67067668,0.0849411149482574,14.0,Dollar-Weighted,action
2563,Arbitrum,uniswap_v3,uniswap_v3 - Pair | exactOutput,120665793.46224885,0.04944628757154834,0.0,0.0,1.0,Dollar-Weighted,action
2015,Arbitrum,gmx,gmx - PositionRouter | 0xf2ae372f,97577842.17926796,0.03998533392578017,97577842.17926796,0.0617067236613868,36.0,Dollar-Weighted,action
536,Arbitrum,0x521709b3cd7f07e29722be0ba28a8ce0e806dbc3,0x521709b3cd7f07e29722be0ba28a8ce0e806dbc3 - 0 | swap,80198290.20862915,0.03286356146692893,42371871.49442891,0.02679531855724966,78.0,Dollar-Weighted,action
343,Arbitrum,0x3405a1bd46b85c5c029483fbecf2f3e611026e45,0x3405a1bd46b85c5c029483fbecf2f3e611026e45 - 0 | anySwapOutUnderlying,74671496.328721,0.03059879834149431,74671496.328721,0.04722110354596093,65.0,Dollar-Weighted,action
2568,Arbitrum,uniswap_v3,uniswap_v3 - Pair | multicall,69607560.04400752,0.028523704459512935,22718493.14172553,0.014366824957289557,131.0,Dollar-Weighted,action
2020,Arbitrum,gmx,gmx - Vault | 0x364e2311,55602366.88282051,0.02278467280295825,55602366.88282051,0.035162079951038636,58.0,Dollar-Weighted,action
1891,Arbitrum,OTHER,OTHER - OTHER | OTHER,55443847.78659593,0.022719715033298744,4347948.19304338,0.0027495754328041313,321.0,Dollar-Weighted,action
41,Arbitrum,0x05e481b19129b560e921e487adb281e70bdba463,0x05e481b19129b560e921e487adb281e70bdba463 - 0 | anySwapOutUnderlying,54624017.57090605,0.0223837659673563,54624017.57090605,0.034543386923130706,35.0,Dollar-Weighted,action
1850,Arbitrum,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf89d7b9c864f589bbf53a82105107622b35eaa40 - 0 | transfer,41330378.64911736,0.016936314173946934,24256530.649117358,0.015339456174888261,26.0,Dollar-Weighted,action
2026,Arbitrum,gmx,gmx - Vault | swap,36486875.50388834,0.014951549125784216,36459215.23706077,0.023056245857651637,60.0,Dollar-Weighted,action
1898,Arbitrum,across_v2,across_v2 - Arbitrum_SpokePool | deposit,34226139.45599389,0.014025147354908469,34226139.45599389,0.021644083146735424,27.0,Dollar-Weighted,action
2034,Arbitrum,gmx,gmx - sGMX | 0xf3daeacc,33928955.37943612,0.013903367611954572,33928955.37943612,0.021456148516504268,61.0,Dollar-Weighted,action
1087,Arbitrum,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,0xb38e8c17e38363af6ebdcb3dae12e0243582891d - 0 | transfer,33731691.51866237,0.013822533058039802,33731691.51866237,0.02133140189090477,33.0,Dollar-Weighted,action
2554,Arbitrum,uniswap_v3,uniswap_v3 - Pair | 0x45710074,29305507.66,0.012008776618536204,3708946.7127366588,0.002345480744052327,1.0,Dollar-Weighted,action
1077,Arbitrum,0xb1feccccaad6429899a9401dcb19f58a19d1afe6,0xb1feccccaad6429899a9401dcb19f58a19d1afe6 - 0 | transfer,29194548.897281803,0.011963308066658131,29194548.897281803,0.018462182817219255,1.0,Dollar-Weighted,action
805,Arbitrum,0x8537307810fc40f4073a12a38554d4ff78efff41,0x8537307810fc40f4073a12a38554d4ff78efff41 - 0 | outboundTransferTo,26357076.79976929,0.010800572072602425,26357076.79976929,0.01666780918989076,15.0,Dollar-Weighted,action
2559,Arbitrum,uniswap_v3,uniswap_v3 - Pair | buy,24881789.43026386,0.01019603054156728,0.0,0.0,1.0,Dollar-Weighted,action
1821,Arbitrum,0xf4037f59c92c9893c43c2372286699430310cfe7,0xf4037f59c92c9893c43c2372286699430310cfe7 - 0 | 0x14a59183,24415339.829446845,0.010004889370255564,23011.3478962332,1.4552021790973665e-05,1.0,Dollar-Weighted,action
1929,Arbitrum,celer_network,celer_network - Bridge | send,24256666.855922353,0.009939868544936253,24256666.855922353,0.015339542309972712,26.0,Dollar-Weighted,action
2058,Arbitrum,kyber,kyber - Elastic_Pool | multicall,23491355.171266817,0.009626260018811715,23491355.171266817,0.014855570994506349,12.0,Dollar-Weighted,action
2566,Arbitrum,uniswap_v3,uniswap_v3 - Pair | mint,22480084.009527504,0.009211862506132866,22480084.009527504,0.014216058696114534,27.0,Dollar-Weighted,action
785,Arbitrum,0x805ba50001779ced4f59cff63aea527d12b94829,0x805ba50001779ced4f59cff63aea527d12b94829 - 0 | deposit,22333828.32179593,0.009151930021647835,22333828.32179593,0.01412356885308052,19.0,Dollar-Weighted,action
1069,Arbitrum,0xb0cabfe930642ad3e7decdc741884d8c3f7ebc70,0xb0cabfe930642ad3e7decdc741884d8c3f7ebc70 - 0 | stake,21648158.50807925,0.008870957048153305,21648158.50807925,0.013689961829467127,15.0,Dollar-Weighted,action
2021,Arbitrum,gmx,gmx - Vault | 0x6023e966,21294022.399202503,0.008725839568074188,998502.9051850919,0.0006314378497133785,19.0,Dollar-Weighted,action
2153,Arbitrum,swapfish,swapfish - UniswapV2Pair_DAI_USDC | addLiquidity,19908579.484689355,0.008158114392617455,19908579.484689355,0.012589878863026286,14.0,Dollar-Weighted,action
2166,Arbitrum,swapfish,swapfish - UniswapV2Pair_USDT_USDC | addLiquidity,18873984.238222055,0.007734159163806202,18873984.238222055,0.011935616772890558,12.0,Dollar-Weighted,action
2033,Arbitrum,gmx,gmx - sGMX | 0x655603a4,18418019.65021717,0.007547314528768969,0.0,0.0,11.0,Dollar-Weighted,action
634,Arbitrum,0x62383739d68dd0f844103db8dfb05a7eded5bbe6,0x62383739d68dd0f844103db8dfb05a7eded5bbe6 - 0 | transfer,17019843.135341767,0.006974371393464069,17019843.135341767,0.010763086512850007,43.0,Dollar-Weighted,action
839,Arbitrum,0x892785f33cdee22a30aef750f285e18c18040c3e,0x892785f33cdee22a30aef750f285e18c18040c3e - 0 | swap,16498065.521001749,0.00676055797354797,16498065.521001749,0.010433122390445812,30.0,Dollar-Weighted,action
1982,Arbitrum,dopex,dopex - EthWeeklyCallsSsovV3 | deposit,15624939.790214892,0.00640276953382655,15624939.790214892,0.009880971133684796,5.0,Dollar-Weighted,action
1895,Arbitrum,aave_v3,aave_v3 - AToken | repay,13650773.94222835,0.005593798163957659,13650773.94222835,0.008632539074492003,15.0,Dollar-Weighted,action
2006,Arbitrum,gmx,gmx - GlpWethArbitrumRewardsDistributor | transfer,12133188.34,0.004971923712639349,12133188.34,0.007672841326542616,1.0,Dollar-Weighted,action
639,Arbitrum,0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4 - 0 | transfer,12085293.4818286,0.00495229741373234,12085293.4818286,0.007642553356323371,3.0,Dollar-Weighted,action
894,Arbitrum,0x9216253925d1a22cb375ecef4f33cf93a1d1ff4d,0x9216253925d1a22cb375ecef4f33cf93a1d1ff4d - 0 | outboundTransferTo,11744595.467080934,0.00481268658013235,11744595.467080934,0.007427101182156682,9.0,Dollar-Weighted,action
409,Arbitrum,0x3fd71bf9a4337c5e05eb91f2525ba8a1b0f471ba,0x3fd71bf9a4337c5e05eb91f2525ba8a1b0f471ba - 0 | 0x14a59183,11619604.517650912,0.004761467935212146,3951.8608539197594,2.4990959034846337e-06,1.0,Dollar-Weighted,action
1892,Arbitrum,aave_v3,aave_v3 - AToken | 0x680dd47c,11396313.063191097,0.0046699678244293535,11396313.063191097,0.007206852757176448,16.0,Dollar-Weighted,action
690,Arbitrum,0x6f15ee9258acdebf356db7ab607bb255a00c6fdf,0x6f15ee9258acdebf356db7ab607bb255a00c6fdf - 0 | transfer,10819011.60673592,0.004433401909497654,10819011.60673592,0.006841776212674171,3.0,Dollar-Weighted,action
1790,Arbitrum,0xef47ccc71ec8941b67dc679d1a5f78facfd0ec3c,0xef47ccc71ec8941b67dc679d1a5f78facfd0ec3c - 0 | deposit,9973096.19427739,0.0040867636821634475,9973096.19427739,0.006306832341896743,8.0,Dollar-Weighted,action
